System               | Instance             | Version    | Date       | Server    
precise_ports        | precise_ports_01_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | BAT       
precise_ports        | precise_ports_01_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | BAT       
precise_ports        | precise_ports_02_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | BAT       
precise_ports        | precise_ports_02_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | BAT       
precise_ports        | precise_ports_03_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | BAT       
precise_ports        | precise_ports_03_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | BAT       
precise_ports        | precise_ports_04_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | BAT       
precise_ports        | precise_ports_04_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | BAT       
precise_ports        | precise_ports_05_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | BAT       
precise_ports        | precise_ports_05_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | BAT       
precise_ports        | precise_ports_06_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | BAT       
precise_ports        | precise_ports_06_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | BAT       
precise_ports        | precise_ports_07_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | BAT       
precise_ports        | precise_ports_07_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | BAT       
precise_ports        | precise_ports_08_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | BAT       
precise_ports        | precise_ports_08_s   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | BAT       
precise_ports        | precise_ports_09_p   | 8.0.2.0    | 2014-01-29 | PD-SD03    | ISEapps    | BAT       
